,mass,compound_id,inchi_key,formation_energy_cc
169,139.106,4695,NSTREUWFTAOOKS-UHFFFAOYSA-M,-398.66789675633913
170,139.106,5713,MXNBDFWNYRNIBH-UHFFFAOYSA-M,-393.1674184492063
171,155.56,1322,XRHGYUZYPHTUJZ-UHFFFAOYSA-M,-239.46664635480363
172,139.106,5184,BBYDXOIZLAWGSL-UHFFFAOYSA-M,-388.1660222564553
173,146.099,1290,XFTRTWQBIOMVPK-RXMQYKEDSA-L,-846.2068168633418
174,146.099,74443,HWXBTNAVRSUOJR-VKHMYHEASA-L,-840.2265410116892
175,181.017,514,LFLUCDOSQPJJBE-UHFFFAOYSA-K,-1453.085610514091
176,178.14,2646,SXZYCXMUPBBULW-AIHAYLRMSA-N,-907.2029121696467
177,258.12,318,HXXFSFRBOHSIMQ-FPRJBGLDSA-L,-1751.213803883315
178,32.046,1296,OAKJQQAXSVQMHS-UHFFFAOYSA-N,127.9834743445
179,144.107,3789,UGKYJAWJZICPEX-UHFFFAOYSA-M,-595.8561362581448
180,60.096000000000004,5400,BDERNNFJNOPAEC-UHFFFAOYSA-N,-175.85610378980024
181,103.098,691217,AFENDNXGAFYKQO-VKHMYHEASA-M,-506.30043983360247
182,74.123,2816,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-171.5229745059717
183,28.054000000000002,905,VGGSQFUCUMXWEO-UHFFFAOYSA-N,81.42194810510313
184,190.0,7804,ATCRIUVQKHMXSH-UHFFFAOYSA-M,-276.42349547211796
185,98.95,2736,WSLDOOZREJYCGB-UHFFFAOYSA-N,-72.97805189489966
186,165.82,2712,CYTYCFOTNPOANT-UHFFFAOYSA-N,27.600000000001028
187,131.38,1107,XSTXAVWGXDQKEL-UHFFFAOYSA-N,25.45548702627432
188,96.94,120404,KFUSEUYYWQURPO-OWOJBTEDSA-N,32.010974052550004
189,96.94,2820,KFUSEUYYWQURPO-UPHRSURJSA-N,27.810974052549735
190,62.5,1786,BZHJMEDXRYGGRV-UHFFFAOYSA-N,59.66646107882799
191,153.81,2713,VZGDMQKNWNREIO-UHFFFAOYSA-N,-45.10000000000094
192,64.06,4187,RAHZWNYVWXNFOC-UHFFFAOYSA-N,-300.7000000000002
193,119.37,4400,HEDRZPFGACZZDS-UHFFFAOYSA-N,-66.544512973726
194,96.94,4643,LGXVIGDEPROXKC-UHFFFAOYSA-N,32.21097405254884
195,147.42,10403,CFXQEHVMCRXUSD-UHFFFAOYSA-N,-100.52256486862507
196,167.84,21310,QVLAWKAXOMEXPM-UHFFFAOYSA-N,-77.78902594745038
197,55.843999999999994,104,CWYNVVGOOAEACU-UHFFFAOYSA-N,-78.86043176248562
198,55.843,185,VTLYFUHAOXGGBS-UHFFFAOYSA-N,-4.610971465619617
199,133.4,7631,UOCLXMDMGBRAIB-UHFFFAOYSA-N,-69.03353892117754
200,98.95,7632,SCYULBFZEHDVBN-UHFFFAOYSA-N,-68.67805189490039
201,64.51,8601,HRYZWHHZPQKTII-UHFFFAOYSA-N,-36.822564868624404
202,112.98,21443,KNKRKFALVUDBJE-UHFFFAOYSA-N,-79.86707784235043
203,236.72,43316,VHHHONWQHHHLTI-UHFFFAOYSA-N,-49.599999999999156
204,202.28,59029,BNIXVQGCZULYKV-UHFFFAOYSA-N,-68.24451297372629
205,133.4,21317,UBOXGVDOUJQMTN-UHFFFAOYSA-N,-77.63353892117503
206,112.56,3909,MVPPADPHJFYWMZ-UHFFFAOYSA-N,102.27743513137624
207,147.0,10405,RFFLAFLAYFXFSW-UHFFFAOYSA-N,84.32194810510114
208,147.0,10412,ZPQOPVIELGIULI-UHFFFAOYSA-N,81.82194810510018
209,147.0,3649,OCJBOOLMMGQPQU-UHFFFAOYSA-N,78.32194810510144
210,181.44,10402,RELMFMZEBKVZJC-UHFFFAOYSA-N,71.66646107882451
211,181.44,3644,PBKONEOXTCPAFI-UHFFFAOYSA-N,60.46646107882684
212,181.447,21539,XKEFYDZQGKAQCN-UHFFFAOYSA-N,56.76646107882558
213,215.88,7633,GBDZXPJXOMHESU-UHFFFAOYSA-N,55.81097405255232
214,215.892,21358,QZYNWJQFTJXIRN-UHFFFAOYSA-N,49.21097405255085
215,215.892,10404,JHBKHLUZVFWLAG-UHFFFAOYSA-N,53.51097405255026
216,250.32,59027,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,45.65548702627506
217,284.77,43314,CKAPSXZOOQJIBF-UHFFFAOYSA-N,46.00000000000023
218,155.559,3747,LULAYUGMBFYYEX-UHFFFAOYSA-M,-245.96713649575193
219,191.01,694312,"QAOJBHRZQQDFHA-UHFFFAOYSA-N
",-269.72353968515625
