,compound_id,inchi_key,mass,cc_low,cc_high,formation_energy_cc,formation_energy_rc
177,289,VOKUMXABRRXHAR-UHFFFAOYSA-M,101.08200000000001,-460.51195202751984,-455.1905456025739,-457.85124881504686,19.316481359955375
178,293,AIJULSRZWUXGPQ-UHFFFAOYSA-N,72.063,-263.06230982302134,-256.0372998922559,-259.5498048576386,27.498349769106795
179,294,RADKZDMFGJYCBB-UHFFFAOYSA-N,167.16400000000002,-332.3708585917272,-317.06141223505773,-324.71613541339246,-18.926657805632228
180,297,RSTKLPZEZYGQPY-UHFFFAOYSA-M,202.19,-261.6049196158652,-243.52464135058065,-252.56478048322293,1.4238033569107382
181,300,ZNOVTXRBGFNYRX-STQMWFEESA-L,457.44800000000004,-136085.355057832,134542.5056292302,-771.4247143009117,-38.002308481471644
182,307,BIRSGZKFKXLSJQ-SQOUGZDYSA-K,273.111,-1967.3368362787548,-1962.4250434353105,-1964.8809398570327,-1964.880939857026
183,309,DNXHEGUUPJUMQT-CBZIJGRNSA-N,270.372,-275441.97303204087,274077.66759320616,-682.1527194173334,11.06547251864672
184,313,WHUUTDBJXJRKMK-GSVOUGTGSA-M,146.123,-696.4314599804936,-686.3366001343466,-691.3840300574201,-691.3840300574177
185,316,UGQMRVRMYYASKQ-KQYNXXCUSA-N,268.22900000000004,-413.81676525012426,-407.3739703251173,-410.5953677876208,-410.59536778762333
186,318,HXXFSFRBOHSIMQ-FPRJBGLDSA-L,258.12,-1753.809455956733,-1748.618151809897,-1751.213803883315,-1751.2138038833205
187,319,WTFXTQVDAKGDEY-HTQZYQBOSA-L,224.169,-785.9287009446535,-755.4359544700975,-770.6823277073755,-74.6257417828334
188,320,UHDGCWIWMRVCDJ-XVFCMESISA-N,243.21900000000002,-526.6884973896957,-510.8300781717832,-518.7592877807394,-23.10801882841953
189,321,PHOQVHQSTUBQQK-SQOUGZDYSA-N,178.14,-905.4420276713572,-900.2262036009199,-902.8341156361386,-902.834115636142
